,주택관리번호,공고번호,주택명,주택구분코드,주택구분코드명,주택상세구분코드,주택상세구분코드명,분양구분코드,분양구분코드명,공급지역코드,공급지역명,공급위치 우편번호,공급위치,공급규모,모집공고일,청약접수시작일,청약접수종료일,특별공급 접수시작일,특별공급 접수종료일,1순위 접수일 해당지역,1순위 접수일 경기지역,1순위 접수일 기타지역,2순위 접수일 해당지역,2순위 접수일 경기지역,2순위 접수일 기타지역,당첨자발표일,계약시작일,계약종료일,홈페이지주소,건설업체명(시공사),문의처,사업주체명(시행사),입주예정월,투기과열지구,조정대상지역,분양가상한제,정비사업,공공주택지구,대규모택지개발지구,수도권내민영공공주택지구
20,2020000057,2020000057,두호 SK VIEW 푸르지오 2단지,1,APT,1,민영,0,분양주택,712,경북,37710,포항시,95,2020-02-14,2020-02,2020-02-26,2020-02-24,2020-02-24,2020-02-25,,2020-02-25,2020-02-26,,2020-02-26,2020-03-05,2020-03-17,2020-03-19,http://www.duho.co.kr,"SK건설, 대우건설",054-275-2220,두호주공1차아파트주택재건축정비사업조합,202003,N,N,N,N,N,N,N
21,2020000060,2020000060,위례신도시 A3-10BL 중흥S-클래스,1,APT,1,민영,0,분양주택,410,경기,13012,하남시,475,2020-02-14,2020-02,2020-03-02,2020-02-27,2020-02-27,2020-02-28,2020-02-28,2020-02-28,2020-03-02,2020-03-02,2020-03-02,2020-03-06,2020-03-17,2020-03-19,http://www.wr-sclass.com/,중흥토건(주),031-791-0070,(주)새솔건설,202210,Y,Y,Y,N,N,Y,N
22,2020000062,2020000062,목포 옥암2휴먼시아,1,APT,3,국민,2,분양전환 불가임대,513,전남,58677,목포시,180,2020-02-14,2020-02,2020-02-25,,,2020-02-24,,2020-02-24,2020-02-25,,2020-02-25,2020-06-09,2020-06-10,2020-07-09,,,061-284-4996,주공 목포옥암2관리소,202007,N,N,N,N,N,N,N
23,2020000064,2020000064,충주호암A4BL행복주택,1,APT,3,국민,2,분양전환 불가임대,360,충북,27502,충주시,334,2020-02-14,2020-02,2020-03-02,,,2020-02-24~2020-02-27,,2020-02-24~2020-02-27,2020-02-28~2020-03-02,,2020-02-28~2020-03-02,2020-05-29,2020-06-10,2020-06-12,,한국토지주택공사충북,043-901-4541,한국토지주택공사충북,202007,N,N,N,N,N,N,N
24,2020000067,2020000067,청주동남A5BL행복주택,1,APT,3,국민,2,분양전환 불가임대,360,충북,28785,청주시,641,2020-02-14,2020-02,2020-03-02,,,2020-02-24~2020-02-27,,2020-02-24~2020-02-27,2020-02-28~2020-03-02,,2020-02-28~2020-03-02,2020-03-06,2020-03-11,2020-03-13,,한국토지주택공사충북,043-901-4541,한국토지주택공사충북,202006,N,N,N,N,N,N,N
25,2020000070,2020000070,대구가람1단지(50년공공임대 예비입주자 모집),1,APT,3,국민,2,분양전환 불가임대,700,대구,42837,달서구,75,2020-02-18,2020-02,2020-02-27,,,2020-02-26,,2020-02-26,2020-02-27,,2020-02-27,2020-05-11,2020-05-12,2020-06-12,http://kohom.or.kr,한국토지주택공사,053-641-4074,한국토지주택대구경북,202006,N,N,N,N,N,N,N
26,2020000076,2020000076,서귀포 동홍동 센트레빌,1,APT,1,민영,0,분양주택,690,제주,63585,서귀포시,212,2020-02-14,2020-02,2020-02-26,2020-02-24,2020-02-24,2020-02-25,,2020-02-25,2020-02-26,,2020-02-26,2020-03-03,2020-03-17,2020-03-19,http://donghong-centreville.co.kr/,동부건설(주),064-762-9700,동부건설(주),202111,N,N,N,N,N,N,N
27,2020000080,2020000080,평창 엘리엇아파트,1,APT,1,민영,0,분양주택,200,강원,25306,평창군,150,2020-02-12,2020-02,2020-02-19,,,2020-02-18,,2020-02-18,2020-02-19,,2020-02-19,2020-02-25,2020-03-09,2020-03-11,http://www.ktrust.co.kr/,에이치아이건설 주식회사,033-332-5732,코리아신탁(주),202003,N,N,N,N,N,N,N
28,2020000086,2020000086,구월 뷰그리안,1,APT,1,민영,0,분양주택,400,인천,21542,남동구,40,2020-02-13,2020-02,2020-02-25,,,2020-02-24,,2020-02-24,2020-02-25,,2020-02-25,2020-03-04,2020-03-16,2020-03-18,,기성건설,032-472-2200,우정아파트1동2동가로주택정비사업조합,202201,N,N,N,N,N,N,N
29,2020000087,2020000087,인천 검단신도시 AB3-1블록 대성베르힐,1,APT,1,민영,0,분양주택,400,인천,22684,서구,745,2020-02-28,2020-03,2020-03-11,2020-03-09,2020-03-09,2020-03-10,,2020-03-10,2020-03-11,,2020-03-11,2020-03-18,2020-03-30,2020-04-01,http://gd-verthill.com/,디에스종합건설(주),032-563-0300,(주)인천검단피에프브이,202211,N,N,Y,N,N,Y,N
30,2020000095,2020000095,LH목포연산1단지 50년공공임대주택 예비입주자 모집,1,APT,3,국민,2,분양전환 불가임대,513,전남,58633,목포시,100,2020-02-18,2020-02,2020-02-27,,,2020-02-26,,2020-02-26,2020-02-27,,2020-02-27,2020-04-23,2020-04-24,2020-05-29,,,061-272-1372,주공 목포연산1관리소,202006,N,N,N,N,N,N,N
31,2020000101,2020000101,과천제이드자이,1,APT,3,국민,0,분양주택,410,경기,13824,과천시,647,2020-02-21,2020-03,2020-03-04,2020-03-02,2020-03-02,2020-03-03,2020-03-03,2020-03-03,2020-03-04,2020-03-04,2020-03-04,2020-03-10,2020-04-06,2020-04-10,http://www.gcjade-xi.co.kr/,지에스건설주식회사,1644-9949,지에스건설(주),202112,Y,Y,Y,N,Y,Y,N
32,2020000117,2020000117,LH 하남감일A-6BL 행복주택 추가입주자 모집,1,APT,3,국민,2,분양전환 불가임대,410,경기,12290,하남시,672,2020-02-14,2020-02,2020-03-02,,,2020-02-25~2020-02-27,,2020-02-25~2020-02-27,2020-02-28~2020-03-02,,2020-02-28~2020-03-02,2020-05-22,2020-06-04,2020-06-09,,(주)태영건설,1600-1004,한국토지주택공사서울,202006,Y,Y,N,N,Y,N,N
33,2020000118,2020000118,고흥 승원팰리체 더퍼스트,1,APT,1,민영,0,분양주택,513,전남,28207,고흥읍,220,2020-02-28,2020-03,2020-03-11,2020-03-09,2020-03-09,2020-03-10,,2020-03-10,2020-03-11,,2020-03-11,2020-03-17,2020-03-30,2020-04-01,http://고흥팰리체.com,승원종합건설(주),1644-4448,라온주택(주),202203,N,N,Y,N,N,N,N
34,2020000123,2020000123,청라힐스자이,1,APT,1,민영,0,분양주택,700,대구,41975,중구,656,2020-02-21,2020-03,2020-03-04,2020-03-02,2020-03-02,2020-03-03,,2020-03-03,2020-03-04,,2020-03-04,2020-03-10,2020-03-23,2020-03-25,http://cheongnahills-xi.com,지에스건설 주식회사,1661-5523,남산4다시5지구주택재건축정비사업,202301,N,N,N,N,N,N,N
35,2020000124,2020000124,LH계룡대실4BL국민임대주택 입주자 추가모집,1,APT,3,국민,2,분양전환 불가임대,312,충남,32831,계룡시,517,2020-02-14,2020-03,2020-03-06,,,2020-03-03~2020-03-04,,2020-03-03~2020-03-04,2020-03-05~2020-03-06,,2020-03-05~2020-03-06,2020-05-21,2020-06-08,2020-06-12,,성지건설주식회사,1600-1004,한국토지주택대전충남,202010,N,N,N,N,N,N,N
36,2020000125,2020000125,대전구봉8-2단지 50년공공임대주택 예비입주자 모집,1,APT,3,국민,2,분양전환 불가임대,300,대전,35373,서구,100,2020-02-17,2020-02,2020-02-26,,,2020-02-25,,2020-02-25,2020-02-26,,2020-02-26,2020-04-16,2020-04-17,2020-12-31,http://www.kohom.or.kr,계룡건설산업(주),042-544-9082,한국토지주택공사 대전구봉8-2관리소,202012,N,N,N,N,N,N,N
37,2020000146,2020000146,LH가평읍내 50년공공임대주택 예비입주자 모집,1,APT,3,국민,2,분양전환 불가임대,410,경기,12412,가평군,90,2020-06-11,2020-06,2020-06-24,,,2020-06-23,,2020-06-23,2020-06-24,,2020-06-24,2020-09-01,2020-09-02,2020-10-01,https://apply.lh.or.kr,,031-581-0277,주공가평읍내관리소,202010,N,N,N,N,N,N,N
38,2020000166,2020000166,파주연풍 양우내안애 에코하임,1,APT,1,민영,0,분양주택,410,경기,10840,파주시,165,2020-03-13,2020-03,2020-03-25,2020-03-23,2020-03-23,2020-03-24,,2020-03-24,2020-03-25,,2020-03-25,2020-04-01,2020-04-13,2020-04-16,http://연풍양우내안애.com,양우건설(주),1600-5745,연풍리지역주택조합,202209,N,N,N,N,N,N,N
39,2020000167,2020000167,속초2차 아이파크,1,APT,1,민영,0,분양주택,200,강원,24868,속초시,578,2020-02-20,2020-03,2020-03-04,2020-03-02,2020-03-02,2020-03-03,,2020-03-03,2020-03-04,,2020-03-04,2020-03-11,2020-03-24,2020-03-26,http://hdc.i-park.com/sokcho2,HDC현대산업개발,033-638-9666,(주)서미개발,202205,N,N,N,N,N,N,N
40,2020000174,2020000174,성남고등 A-1 행복주택(리츠) 추가모집,1,APT,3,국민,2,분양전환 불가임대,410,경기,13105,성남시,229,2020-02-19,2020-02,2020-02-25,,,2020-02-21~2020-02-24,,2020-02-21~2020-02-24,2020-02-25,,2020-02-25,2020-05-21,2020-06-02,2020-06-05,,"남해종합개발, 우미건설(주), (주)우미토건",1600-1004,국민행복1부동산투자,202006,N,Y,Y,N,N,N,N
41,2020000180,2020000180,문수데시앙 2단지(10년임대) 예비입주자 선착순 모집,1,APT,3,국민,1,분양전환 가능임대,680,울산,44740,남구,71,2020-02-19,2020-03,2020-03-12,,,2020-03-11,,2020-03-11,2020-03-12,,2020-03-12,2020-12-31,2021-01-04,2021-01-29,,,052-219-8453,울산시 도시공사,202101,N,N,N,N,N,N,N
42,2020000183,2020000183,진주가좌올리움(국민임대-예비),1,APT,3,국민,2,분양전환 불가임대,621,경남,52817,진주시,120,2020-02-20,2020-02,2020-02-28,,,2020-02-27,,2020-02-27,2020-02-28,,2020-02-28,2020-06-05,2020-06-15,2020-06-30,,동남건설,055-269-0409,경상남도개발공사,202007,N,N,N,N,N,N,N
43,2020000184,2020000184,평택소사벌7단지,1,APT,3,국민,1,분양전환 가능임대,410,경기,17847,평택시,400,2020-02-21,2020-03,2020-03-05,,,2020-03-04,2020-03-04,2020-03-04,2020-03-05,2020-03-05,2020-03-05,2020-03-06,2020-04-01,2020-04-29,https://apply.lh.or.kr,NHF제1호공공임대위탁관리,1600-1004,한국토지주택공사경기,202005,N,N,N,N,N,Y,N
44,2020000186,2020000186,부산당감1단지 (50년공임) 예비,1,APT,3,국민,2,분양전환 불가임대,600,부산,47156,부산진구,120,2020-04-21,2020-05,2020-05-07,,,2020-05-06,,2020-05-06,2020-05-07,,2020-05-07,2020-06-30,2020-07-01,2020-07-31,https://apply.lh.or.kr/LH/index.html#MN::CLCC_MN_0010:,한국토지주택공사,051-891-7196,주택관리공단 당감1,202007,N,N,N,N,N,N,N
45,2020000189,2020000189,청주가경4단지(국민임대) 예비,1,APT,3,국민,2,분양전환 불가임대,360,충북,28387,청주시,130,2020-02-20,2020-02,2020-02-28,,,2020-02-27,,2020-02-27,2020-02-28,,2020-02-28,2020-06-26,2020-08-03,2020-08-31,,학림건설(주),043-234-6870,주공 가경주공4관리소,202009,N,N,N,N,N,N,N
46,2020000190,2020000190,의정부고산S2-1BL(행복주택리츠) 추가,1,APT,3,국민,2,분양전환 불가임대,410,경기,11801,의정부시,241,2020-02-25,2020-03,2020-03-16,,,2020-03-09~2020-03-13,,2020-03-09~2020-03-13,2020-03-16,,2020-03-16,2020-06-09,2020-06-24,2020-06-26,,(주)서한,1600-1004,(주)행복주택 2호위탁,202006,N,N,N,N,N,Y,N
47,2020000191,2020000191,화성동탄2 A77-1BL (행복주택) 추가,1,APT,3,국민,2,분양전환 불가임대,410,경기,18053,화성시,464,2020-02-28,2020-03,2020-03-16,,,2020-03-09~2020-03-12,,2020-03-09~2020-03-12,2020-03-13~2020-03-16,,2020-03-13~2020-03-16,2020-06-10,2020-06-22,2020-06-25,,STX건설(주),1600-1004,한국토지주택공사경기,202007,N,Y,N,N,Y,Y,N
48,2020000192,2020000192,승윤 노블리안 아파트,1,APT,1,민영,0,분양주택,410,경기,14738,부천시,33,2020-07-03,2020-07,2020-07-17,2020-07-15,2020-07-15,2020-07-16,,2020-07-16,2020-07-17,,2020-07-17,2020-07-23,2020-08-04,2020-08-06,http://www.syoon.co.kr,천명토건(주),032-666-4012,해바라기연립주택재건축정비사업조합,202009,N,N,N,Y,N,N,N
49,2020000194,2020000194,포레나 부산 덕천,1,APT,1,민영,0,분양주택,600,부산,46555,북구,294,2020-02-28,2020-03,2020-03-12,2020-03-10,2020-03-10,2020-03-11,,2020-03-11,2020-03-12,,2020-03-12,2020-03-19,2020-03-30,2020-04-01,https://hanwha.forena.co.kr/deokcheon/,(주)한화건설,1899-0662,덕천2의1구역주택재건축정비사업조합,202208,N,N,N,N,N,N,N
50,2020000202,2020000202,천안 청당 서희스타힐스,1,APT,1,민영,0,분양주택,312,충남,31211,천안시,221,2020-02-28,2020-03,2020-03-11,2020-03-09,2020-03-09,2020-03-10,,2020-03-10,2020-03-11,,2020-03-11,2020-03-17,2020-03-30,2020-04-01,http://www.cc-starhills.co.kr,(주)서희건설,1899-3622,청수지역주택조합,202212,N,N,N,N,N,N,N
51,2020000214,2020000214,쌍용 더 플래티넘 오목천역,1,APT,1,민영,0,분양주택,410,경기,16634,수원시,713,2020-02-28,2020-03,2020-03-12,2020-03-09,2020-03-09,2020-03-10,,2020-03-11,2020-03-12,,2020-03-12,2020-03-19,2020-03-30,2020-04-06,https://suwon.ssyapt.com,쌍용건설(주),031-292-9377,수원113-12구역주택재개발정비사업조합,202209,N,Y,N,Y,N,N,N
52,2020000227,2020000227,영광 금호어울림 리더스,1,APT,1,민영,0,분양주택,513,전남,57532,영광,278,2020-02-28,2020-03,2020-03-06,2020-03-04,2020-03-04,2020-03-05,,2020-03-05,2020-03-06,,2020-03-06,2020-03-11,2020-03-23,2020-03-25,http://ygkhapt.com,금호산업(주),061-352-7997,대한토지신탁(주),202112,N,N,N,N,N,N,N
53,2020000228,2020000228,화성동탄2 A77-2블록 국민임대주택 추가,1,APT,3,국민,2,분양전환 불가임대,410,경기,18489,화성시,1230,2020-02-28,2020-03,2020-03-16,,,2020-03-09~2020-03-12,,2020-03-09~2020-03-12,2020-03-13~2020-03-16,,2020-03-13~2020-03-16,2020-06-10,2020-06-23,2020-06-26,,(주)금강주택 외 2,1600-1004,한국토지주택공사경기,202010,N,N,N,N,N,N,N
54,2020000229,2020000229,천안쌍용5-2단지 50년공공임대주택 예비,1,APT,3,국민,2,분양전환 불가임대,312,충남,31161,천안시,100,2020-02-24,2020-03,2020-03-04,,,2020-03-03,,2020-03-03,2020-03-04,,2020-03-04,2020-04-23,2020-04-24,2020-05-29,,한국토지주택공사,041-575-6961,주공 천안쌍용5-2,202006,N,N,N,N,N,N,N
55,2020000230,2020000230,전주효자4-1단지 국민임대주택 예비,1,APT,3,국민,2,분양전환 불가임대,560,전북,55063,전주시,120,2020-02-27,2020-03,2020-03-06,,,2020-03-05,,2020-03-05,2020-03-06,,2020-03-06,2020-07-07,2020-07-08,2020-07-31,,한국토지주택공사,063-229-9490,전주효자4지구1관리소,202008,N,N,N,N,N,N,N
56,2020000231,2020000231,송도 에듀포레푸르지오(RC-2) 외국인임대 분양전환 아파트,1,APT,1,민영,0,분양주택,400,인천,21986,연수구,118,2020-02-28,2020-03,2020-03-10,,,2020-03-09,,2020-03-09,2020-03-10,,2020-03-10,2020-03-16,2020-03-30,2020-04-01,https://www.imcd.co.kr,대우건설,1811-9577,인천도시공사,202004,N,N,N,N,N,Y,N
57,2020000232,2020000232,송도 베르디움퍼스트(RC-4) 외국인임대 분양전환 아파트,1,APT,1,민영,0,분양주택,400,인천,21986,연수구,148,2020-02-28,2020-03,2020-03-10,,,2020-03-09,,2020-03-09,2020-03-10,,2020-03-10,2020-03-17,2020-03-30,2020-04-01,https://www.imcd.co.kr,호반건설,1811-9577,인천도시공사,202004,N,N,N,N,N,Y,N
58,2020000237,2020000237,공주영우2단지 10년임대,1,APT,3,국민,1,분양전환 가능임대,312,충남,32603,공주시,7,2020-02-28,2020-03,2020-03-04,,,2020-03-03,,2020-03-03,2020-03-04,,2020-03-04,2020-03-05,2020-03-16,2020-03-16,,,1600-1004,한국토지주택대전충남,202003,N,N,N,N,N,N,N
59,2020000238,2020000238,봉덕2차 화성파크드림,1,APT,1,민영,0,분양주택,700,대구,42511,남구,403,2020-03-13,2020-03,2020-03-25,2020-03-23,2020-03-23,2020-03-24,,2020-03-24,2020-03-25,,2020-03-25,2020-03-31,2020-04-13,2020-04-16,http://www.bd2-parkdream.com,화성산업주식회사,053-321-8922,선주주택재건축정비사업조합,202212,N,N,N,Y,N,N,N
60,2020000241,2020000241,아산배방2 A-12블록 행복주택 추가모집,1,APT,3,국민,2,분양전환 불가임대,312,충남,31168,아산시,105,2020-02-28,2020-03,2020-03-16,,,2020-03-10~2020-03-12,,2020-03-10~2020-03-12,2020-03-13~2020-03-16,,2020-03-13~2020-03-16,2020-05-29,2020-06-10,2020-06-12,http://lh.or.kr,한국토지주택공사,1600-1004,한국토지주택대전충남,202006,N,N,N,N,N,N,N
61,2020000242,2020000242,파주법원 행복주택 추가,1,APT,3,국민,2,분양전환 불가임대,410,경기,10826,파주시,168,2020-02-28,2020-03,2020-03-25,,,2020-03-12~2020-03-24,,2020-03-12~2020-03-24,2020-03-25,,2020-03-25,2020-06-16,2020-07-01,2020-07-03,,효산종합건설(주) 외 7,1600-1004,한국토지주택공사인천,202007,N,N,N,N,N,N,N
62,2020000243,2020000243,양주고읍A13BBL 행복주택,1,APT,3,국민,2,분양전환 불가임대,410,경기,11494,양주시,266,2020-02-26,2020-03,2020-03-20,,,2020-03-09~2020-03-17,,2020-03-09~2020-03-17,2020-03-18~2020-03-20,,2020-03-18~2020-03-20,2020-06-05,2020-06-17,2020-06-19,,,1600-1004,한국토지주택공사서울,202006,N,N,N,N,N,N,N
63,2020000245,2020000245,"양주옥정 A-20(2), A-20(3) 10년공공임대주택리츠 잔여세대 입주자 및 예비입주자 모집공고 ",1,APT,3,국민,1,분양전환 가능임대,410,경기,11479,양주시,340,2020-03-02,2020-03,2020-03-17,,,2020-03-16,2020-03-16,2020-03-16,2020-03-17,2020-03-17,2020-03-17,2020-03-18,2020-05-04,2020-05-06,,,031-820-8767,주)NHF12호공공임대위탁관리부동산투자회사,202005,N,N,N,N,N,Y,N
64,2020000247,2020000247,쌍용 더 플래티넘 해운대,1,APT,1,민영,0,분양주택,600,부산,48096,해운대구,152,2020-03-06,2020-03,2020-03-18,2020-03-16,2020-03-16,2020-03-17,,2020-03-17,2020-03-18,,2020-03-18,2020-03-24,2020-04-06,2020-04-08,https://www.ssyapt.com/apt/main/main.asp?Haeundae,쌍용건설(주),1899-3360,우리자산신탁(주),202202,N,N,N,N,N,N,N
65,2020000255,2020000255,2020.04.06 (수도권) 국민임대주택 예비입주자 정례모집,1,APT,3,국민,2,분양전환 불가임대,410,경기,10031,소재,9129,2020-04-06,2020-04,2020-05-15,,,2020-04-13~2020-05-13,,2020-04-13~2020-05-13,2020-05-14~2020-05-15,,2020-05-14~2020-05-15,2020-08-07,2020-09-14,2020-09-30,,,1600-1004,한국토지주택공사,202012,N,N,N,N,N,N,N
